namaste_code,namaste_term,namaste_terms,icd_code,icd_description
GC-11,SItadantaH,"the disorder is characterized by uṣṇasahā dantā [teeth tolerate only hot things], śītasparśēऽdhikavyathāḥ [causes severe pain by the touch of cold things], dālyanta iva śūlēna [pain appearing as though splitting the teeth.] SItadantaH",8A03,Trigeminal Neuralgia
GD,jihvAgatarogaH,jihvAgatarogaH,1A00,Cholera
GD-1,vAtajajihvAgatarogaH,"the disorder is characterized by sphuṭitā (jihvā) [furring of tongue], prasuptā (jihvā)/suptā [loss of taste sensation], śākacchadanaprakāśā (jihvā)/śākapatrakharā [feeling as the tongue is covered by the leaf of śāka] vAtajajihvAgatarogaH",1D81,COVID-19
GD-2,pittajajihvAgatarogaH,"the disorder is characterized by dāhaḥ (dahyati) (jihvāyām)/paridāha [burning sensation in tongue], pītā (jihvā) [yellowish tongue], raktakaṇṭakacitā (jihvā)/dīrgha rakta kaṇṭaka (jihvā) [studding of big bloody red thorny projection], ōṣa [burning sensation], raktamāṁsāṁkuraścitā [having red colored buds] pittajajihvAgatarogaH",8E00,Peripheral Neuropathy
GD-3,kaPajajihvAgatarogaH,"the disorder is characterized by gurvī (jihvā)/guru [heaviness of tongue], bahalā/bahulācitā(jihvā) [excessive thickness of tongue], śālmalikaṇṭakābhaḥ māṁsōdgamaḥ/śālmalikaṇṭakābhaḥmāṁsōcchrayaḥ [tongue resembling projection like the thorn of śālmali] kaPajajihvAgatarogaH",8A03,Trigeminal Neuralgia
GD-4 (SM1Y),alasaH/alAsaH,alasaH/alAsaH,1A00,Cholera
SM1C  (GD-5),upajihvikA,It is characterised by cystic swelling either above or below the tongue. This may be explained by: (a) Vitiated all three dosha localising near the base of the tongue. upajihvikA,MG40,Oedema / Swelling
GE,tAlugatarogaH,tAlugatarogaH,1A00,Cholera
SM18 (GE-1),galaSuNDikA (kaNThaSuNDI),"It is characterised by large, painful swelling at the base of soft palate, uvula, fever, difficulty in swallowing. This may be explained by: (a) Vitiation of pitta, blood affecting throat region. galaSuNDikA (kaNThaSuNDI)",CA08,Acute Pharyngitis
SM19 (GE-2),galagrahaH,"It is characterised by pain, burning sensation in throat,fever, difficulty in breathing and swallowing due to swelling in pharynx and larynx or muscles of upper part of the oesophagus. This may be explained by: (a) Vitiation of all the three dosha, blood, muscle in throat region. galagrahaH",CA08,Acute Pharyngitis
SL06 (GE-3),tuNDikerI,"It is characterised by the inflammation of tonsils, characterised by swelling, pain and redness of throat, difficulty in swallowing, fever. This may be explained by: (a) Vitiated kapha and blood affecting throat region. tuNDikerI",CA08,Acute Pharyngitis
SM17 (GE-4),adhruShaH,"It is characterised by pain, swelling and redness in the palate. This may be explained by: (a) Vitiation of kapha, blood, muscles in palate region. adhruShaH",FA02,Gout
GE-5 (SM1Y),kacCapaH (kacCapI),kacCapaH (kacCapI),1A00,Cholera
GE-6 (SM1Y),tAlu-arbudaH,tAlu-arbudaH,1A00,Cholera
GE-7 (SM1Y),mAMsasa~gghAtaH/tAlusaMhatiH,mAMsasa~gghAtaH/tAlusaMhatiH,1A00,Cholera
GE-8 (SM1Y),tAlupuppuTaH,tAlupuppuTaH,1A00,Cholera
GE-9,tAluSoShaH,tAluSoShaH,1A00,Cholera
GE-10 (SP9Y),tAlupAkaH/tAluSothaH,tAlupAkaH/tAluSothaH,1A00,Cholera
GE-11 (SM1Y),tAlupiDakA/tAlupiTikA,tAlupiDakA/tAlupiTikA,1A00,Cholera
GE-12 (SP9Y),tAluvidradhiH,tAluvidradhiH,1A00,Cholera
GF,kaNThagatarogaH,kaNThagatarogaH,1A00,Cholera
SL04 (GF-1),rohiNI,"It is characterised by inflammation of throat, difficulty in swallowing and dry cough. This may be explained by: (a) Vitiation of all the three dosha which localise near the base of the tongue. rohiNI",CA08,Acute Pharyngitis
GF-1.1,vAtajarohiNI,vAtajarohiNI,1A00,Cholera
GF-1.2,pittajarohiNI,pittajarohiNI,1A00,Cholera
GF-1.3,kaPajarohiNI,kaPajarohiNI,1A00,Cholera
GF-1.4,sAnnipAtajarohiNI,sAnnipAtajarohiNI,1A00,Cholera
GF-1.5,raktajarohiNI,raktajarohiNI,1A00,Cholera
GF-1.6,medajarohiNI,medajarohiNI,1A00,Cholera
SK9A (GF-2),kaNThaSAlUkaH/tuNDikerI,"It is characterised by swelling in the throat, irritation. This may be explained by: (a) Vitiated kapha localising the throat. kaNThaSAlUkaH/tuNDikerI",CA08,Acute Pharyngitis
SL05 (GF-4),balAsaH,"It is characterised by pain, swelling redness in throat, cough and dysphonia. This may be explained by: (a) Vitiation of kapha, blood and muscle tissue in palate region. balAsaH",CA08,Acute Pharyngitis
GF-5,ekavRundaH,ekavRundaH,1A00,Cholera
SL01 (GF-7),SataghnI,"It is characterised by suppurative growth, painful obstruction of posterior part of pharynx associated with multiple fleshy buds and fever. This may be explained by: (a) Aggravation of kapha, pitta resulting in painful suppurative swelling in the posterior part of pharynx. SataghnI",NA00,Fracture
GF-8,gilAyuH/gilAyukaH,gilAyuH/gilAyukaH,1A00,Cholera
GF-9 (SL0Y),galavidradhiH,galavidradhiH,1A00,Cholera
GF-11 (SL03),svaraghnam,svaraghnam,1A00,Cholera
GF-12 (SL00),mAMsatAnaH,mAMsatAnaH,1A00,Cholera
GF-13 (SL0Y),vidArI (kaNThagata),vidArI (kaNThagata),1A00,Cholera
SM00 (GF-14),apacI,It is characterised by inflammatory swelling associated with mild pain occurring in axilla and groin. This may be explained by: (a) Accumulation of vitiated adipose tissue in various parts of the body. apacI,5B80,Obesity
GF-14.1,asAdhya-apacI,asAdhya-apacI,1A00,Cholera
SL00 (GF-15),galArbudaH,"It is characterised by non suppurated swelling at the root of the tongue and beginning of the throat, stable or immobile, painless and reddish swelling, abscess with pus in throat. This may be explained by: (a) Vitiated three dosha affecting the throat. galArbudaH",CA08,Acute Pharyngitis
SL08 (GF-17),gaNDamAlA,"It is characterised by string of hard, glossy, painless nodular or elongated skin coloured swollen glands around the neck, throat which slowly suppurate and form fistulous tracts. This may be explained by: (a) Vitiation of kapha, blood, muscle tissue in throat region. gaNDamAlA",CA08,Acute Pharyngitis
GF-18 (SL08),asAdhya gaNDamAlA,asAdhya gaNDamAlA,1A00,Cholera
GF-19 (SL0Y),galagaNDaH,galagaNDaH,1A00,Cholera
GF-19.1,vAtaja-galagaNDaH,"the disorder is characterized by tōdaḥ [pricking pain], kr̥ṣṇasirāvanaddhaḥ (galagaṇḍa) [full of blackish veins], kr̥ṣṇa rājimāna [covered with black striae], kr̥ṣṇa gaṇḍa [blackish swelling], aruṇa gaṇḍa [slightly reddish swelling], śyāvagaṇḍa [bluish black swelling], kālād upacitaśca atisnigdha [after sometimes it becomes unctuous], arujaḥ [painless], pāruṣyayuktaḥ (galagaṇḍa) [hard swelling], ciravr̥ddhiḥ (galagaṇḍa) [takes a long time to increase], apākaḥ (galagaṇḍa) [non-suppurative], kadācit yadr̥̄cchayā pākaḥ [occasional suppuration], yadr̥cchayā pākaḥ (galaśōphaḥ) [may sometimes suppurative], āsya-vairasyam [distaste of mouth], tālupraśōṣaḥ/vr̥ddhastālu śōṣaḥ [dryness of the palate], galapraśōṣaḥ/vr̥ddhasgala śōṣaḥ [dryness of the throat] vAtaja-galagaNDaH",MG40,Oedema / Swelling
GF-19.2,kaPaja-galagaNDaH,"the disorder is characterized by sthiraḥ (galagaṇḍa) [fixed swelling], savarṇaḥ (galagaṇḍa) [swelling of normal skin colouration], guruḥ(galaśōphasya) [heavy swelling in throat], ugrakaṇḍūḥ (galagaṇḍa) [associated with severe itching], śītaḥ (galagaṇḍa)/śīta sparśan [cold swelling], mahān (galagaṇḍa) [very big swelling], cirābhivr̥ddhiḥ (galagaṇḍa) [increases over a long period of time], cirāt pacanam [suppurate after a long time], alparuk/ mandarujaḥ [mild pain], āsya-mādhuryam [sweetness in mouth], tālupralēpaḥ/vr̥ddhastālu lēpa [palate fills as if coated], galapralēpaḥ/vr̥ddhasgala lēpa [throat fills as if coated] kaPaja-galagaNDaH",MG40,Oedema / Swelling
GF-19.3,medaja-galagaNDaH,medaja-galagaNDaH,1A00,Cholera
GF-19.4,asAdhya-galagaNDaH,"the disorder is characterized by kr̥cchra ucchvāsa [difficulty, expiration or laboured breathing], mr̥dusarvagātraṁ [whole body becomes soft], saṁvatsarātīta [chronicity of more than one year], arōcakaḥ [tastelessness], kṣīṇaṁ [emaciation], bhinnasvaraṁ [hoarseness of voice] asAdhya-galagaNDaH",5B80,Obesity
GF-20,viDAlikA,"the disorder is characterized by gala sandhi śōphaḥ [swelling in the joint of throat], cibuka śōphaḥ [swelling in the chin], gala śōphaḥ [swelling in the throat], dāhaḥ [burning sensation], rāga [redness/congestion], ugraśvasana [difficult in expiration or laboured breathing], bhr̥śārti [excruciating pain], hanyāt galē valayākr̥ti [fatal if surrounds the throat as ring] viDAlikA",CA08,Acute Pharyngitis
GG (SM1Y),sarvasara mukharogaH,sarvasara mukharogaH,1A00,Cholera
GG-1,vAtaja-sarvasara-mukharogaH,vAtaja-sarvasara-mukharogaH,1A00,Cholera
GG-2,pittaja-sarvasara-mukharogaH,pittaja-sarvasara-mukharogaH,1A00,Cholera
GG-3,kaPaja-sarvasara-mukharogaH,kaPaja-sarvasara-mukharogaH,1A00,Cholera
GG-4,raktaja-sarvasara-mukharogaH/mukhapAkaH,raktaja-sarvasara-mukharogaH/mukhapAkaH,1A00,Cholera
GG-5,sAnnipAtaja-sarvasara-mukharogaH,sAnnipAtaja-sarvasara-mukharogaH,1A00,Cholera
GG-6,pUtyAsyagandhatA/pUtyAsyam,pUtyAsyagandhatA/pUtyAsyam,1A00,Cholera
GG-7,UrdhvagudaH-sarvasara-mukharogaH,UrdhvagudaH-sarvasara-mukharogaH,1A00,Cholera
GG-8,arbudaH-sarvasara-mukharogaH,arbudaH-sarvasara-mukharogaH,1A00,Cholera
H,netrarogaH/akShirogaH,netrarogaH/akShirogaH,1A00,Cholera
H-1,netrarogapUrvarupa,netrarogapUrvarupa,1A00,Cholera
H-2,vAtaja-netrarogaH,vAtaja-netrarogaH,1A00,Cholera
H-3,pittaja-netrarogaH,pittaja-netrarogaH,1A00,Cholera
H-4,kaPaja-netrarogaH,kaPaja-netrarogaH,1A00,Cholera
H-5,sAnnipAtaja-netrarogaH,sAnnipAtaja-netrarogaH,1A00,Cholera
H-6,raktaja-netrarogaH,raktaja-netrarogaH,1A00,Cholera
H-7,sAma-netrarogaH,sAma-netrarogaH,1A00,Cholera
H-8,nirAma-netrarogaH,nirAma-netrarogaH,1A00,Cholera
H-9,pakva-netrarogaH,pakva-netrarogaH,1A00,Cholera
H-10,vAtAnugata-dRuShTiH,vAtAnugata-dRuShTiH,1A00,Cholera
H-11,pittAnugata-dRuShTiH,pittAnugata-dRuShTiH,1A00,Cholera
H-12,kaPAnugata-dRuShTiH,kaPAnugata-dRuShTiH,1A00,Cholera
H-13,raktAnugata-dRuShTiH,raktAnugata-dRuShTiH,1A00,Cholera
HA,sandhigatarogaH,sandhigatarogaH,1A00,Cholera
SK68 (HA-1),pUyAlasaH,It is characterised by swelling over medial canthus with pus discharge and foul smell. Inability to rotate the eyeball due to papules in the inner lower eyelid associated with flow of tears continuously. This may be explained by: (a) Vitiated dosha obstructing lacrymal passage. pUyAlasaH,GB60,Urinary Retention
SK6D (HA-3),srAvaH,It is characterised by abnormal watering from the eyes. This may be explained by: (a) Vitiation of any of the three dosha especially vata. srAvaH,9A00,Conjunctivitis
HA-3.1,pUyasrAvaH/sannipAtajasrAvaH,pUyasrAvaH/sannipAtajasrAvaH,1A00,Cholera
HA-3.2,SleShmAsrAvaH,SleShmAsrAvaH,1A00,Cholera
HA-3.3,raktAsrAvaH,raktAsrAvaH,1A00,Cholera
HA-3.4,pittasrAvaH,pittasrAvaH,1A00,Cholera
HA-3.5,jala-srAvaH,jala-srAvaH,1A00,Cholera
HA-6 (SK62 ),kRumigranthiH,kRumigranthiH,1A00,Cholera
HB,vartma-rogaH,vartma-rogaH,1A00,Cholera
HB-1 (SK7Y),utsa~gginI,utsa~gginI,1A00,Cholera
SK69 (HB-2),kumBIkA,It is characterised by pappilary growth in the outer canthus of eye. This may be explained by: (a) Vitiated dosha affecting the eye. kumBIkA,9A00,Conjunctivitis
SK6U (HB-3),pothakI,It is characterised by small papules in the inner surface of eyelids with irritation and difficulty in movements of eyelids. This may be explained by: (a) Vitiated kapha localising on the inner surface of the eyelids. pothakI,8A00,Epilepsy
HB-4,vatmaSarkarA,vatmaSarkarA,1A00,Cholera
HB-5 (SK6U),arSovartma,arSovartma,1A00,Cholera
HB-6,SuShkArSaH/ lohitArSaH,SuShkArSaH/ lohitArSaH,1A00,Cholera
SK6P (HB-7),a~jjananAmikA,"It is characterised by hard and spindle shaped swelling, pain, redness at the root of eyelashes may be associated with pus discharge. This may be explained by: (a) Vitiation of blood affecting the eyelid. a~jjananAmikA",1F00,Fungal Skin Infection
HB-8 (SK7Y),bahalavartma,bahalavartma,1A00,Cholera
SK62 (HB-9),vartmAvabandhakaH,"It is characterised by hard swelling and redness in eyelids, itching may be associated with crusting at the eyelid margins or base of the eyelashes, flaking of skin on eyelids, falling of eye lashes. This may be explained by: (a) Aggravated kapha, vata affecting skin, blood and muscle tissue. vartmAvabandhakaH",EB00,Cellulitis
HB-10 (SK7Y),vartmakardamaH,vartmakardamaH,1A00,Cholera
HB-11 (SK7Y),kliShTavartma,kliShTavartma,1A00,Cholera
SK6K (HB-12),SyAvavartma,It is characterised by blackish discoloration of eyelid with swelling and pain. This may be explained by: (a) Vitiation of all the three dosha. SyAvavartma,MG40,Oedema / Swelling
HB-13 (SK66),praklinnavartma/kaPotkliShTa-vartma,praklinnavartma/kaPotkliShTa-vartma,1A00,Cholera
HB-14 (SK66),apariklinnavartma/kliShTa-vartma,apariklinnavartma/kliShTa-vartma,1A00,Cholera
HB-15 (SK7Y),vAtahata-vartma,vAtahata-vartma,1A00,Cholera
SK6F (HB-16),vartmArbudaH,"It is characterised by Irregular growth in the eyelids, painless and movable. This may be explained by: (a) Vitiated three dosha affecting the eyelids. vartmArbudaH",5B00,Malnutrition
SK6J (HB-17),nimeShaH,It is characterised by excessive blinking. This may be explained by: (a) Increased vatadosha affecting the eyelid. nimeShaH,5A10,Type 1 Diabetes Mellitus
SK6H (HB-18),vartmagata-raktArSaH/SoNitArSaH,It is characterised by wart like growth in the external surface of eyelids. This may be explained by: (a) Vitiated blood affecting the eyelid vartmagata-raktArSaH/SoNitArSaH,5B00,Malnutrition
SK6N (HB-19),lagaNaH,It is characterised by big hard painless movable swelling on the eyelid. This may be explained by: (a) Predominance of kapha. lagaNaH,FA02,Gout
HB-20,bisavartma,bisavartma,1A00,Cholera
HB-22,kRucCronmIlaH,kRucCronmIlaH,1A00,Cholera
HB-23 (SK7Y),pittottkliShTaH,pittottkliShTaH,1A00,Cholera
HB-24 (SK7Y),utkliShTavartma,utkliShTavartma,1A00,Cholera
SK6M (HB-25),SliShTa-vartma,"It is characterised by adherence of eyelids associated with itching, swelling and redness, congestion. This may be explained by: (a) Kapha and blood affecting the eyelid. SliShTa-vartma",EA00,Dermatitis / Eczema
HB-26 (SK7Y),sikatA-vartma,sikatA-vartma,1A00,Cholera
HC,pakShmagatarogaH,pakShmagatarogaH,1A00,Cholera
SK6E (HC-1),pakShmakopaH/pakShmoparodha,"It is characterised by inversion of eyelashes, continous irritation of eyeballs, watering, fall of eye lashes. This may be explained by: (a) Vitiation of all the three dosha affecting the root of eye lashes pakShmakopaH/pakShmoparodha",9A00,Conjunctivitis
SK6Q (HC-2),pakShmaSAtaH,It is characterised by falling of eyelashes. This may be explained by: (a) Vitiation of dosha and blood. pakShmaSAtaH,1B10,Tuberculosis of Lung
HD,SuklagatarogaH,SuklagatarogaH,1A00,Cholera
SK6C (HD-1),prastAri-arma,It is characterised by muscular growth from the inner canthus towards cornea leadind to loss of vision if it reaches the pupil. This may be explained by: (a) Vitiated dosha causing muscular growth over the sclera. prastAri-arma,5B00,Malnutrition
HD-3 (SK6C),lohitArma/kShatArma,lohitArma/kShatArma,1A00,Cholera
HD-4 (SK7Y),adhimAMsajArma,adhimAMsajArma,1A00,Cholera
SK6T (HD-10),sirAjapiDakA/sirA,"It is characterised by hard white, red nodule on inner canthus, outer canthus, below eyelids and around cornea in a beaded manner. This may be explained by: (a) Vitiated three dosha affecting the eye. sirAjapiDakA/sirA",9A00,Conjunctivitis
HD-11,balAsakaH/balAsagrathitaH,balAsakaH/balAsagrathitaH,1A00,Cholera
SK67 (HE),kRuShNagatarogaH,It is characterised by disease of cornea affecting vision. This may be explained by: (a) Vitiated dosha affecting the eye. kRuShNagatarogaH,9B20,Glaucoma
HE-1 (SK67),savraNaSukraH/kShataSuklaH,savraNaSukraH/kShataSuklaH,1A00,Cholera
HE-1.1,asAdhya-savraNaSukraH,asAdhya-savraNaSukraH,1A00,Cholera
SK6V (HE-2),avraNaSukraH,It is characterised by opacity of the cornea subsequent to corneal ulceration. This may be explained by: (a) Vitiation of blood affecting cornea. avraNaSukraH,1B10,Tuberculosis of Lung
HE-2.1,kRucCrasAdhya-avraNaSukraH,kRucCrasAdhya-avraNaSukraH,1A00,Cholera
HE-3 (SK67),pAkAtyayaH/sirAsa~ggaH,pAkAtyayaH/sirAsa~ggaH,1A00,Cholera
SK61 (HE-4),ajakA,"It is characterised by prolapse or protrusion of the uveal tissue through a weak point in the eyeball resembling head of a housefly. May be associated with pain, warm, slimy coppery tears. This may be explained by: (a) The three vitiated dosha, blood and fatty tissue. ajakA",EB00,Cellulitis
HE-5 (SK7Y),sirASukraH,sirASukraH,1A00,Cholera
HF,sarvagatAkShirogaH,sarvagatAkShirogaH,1A00,Cholera
SK66 (HF-1),aBiShyandaH,"It is characterised by redness of eye, lacrimation, photophobia, burning sensation. This may be explained by: (a) Vitiation of all the three dosha affecting the eye. aBiShyandaH",9A00,Conjunctivitis
HF-1.1,vAtABiShyandaH,vAtABiShyandaH,1A00,Cholera
HF-1.2,pittABiShyandaH,pittABiShyandaH,1A00,Cholera
HF-1.3,kaPABiShyandaH,kaPABiShyandaH,1A00,Cholera
HF-1.4,raktABiShyandaH,raktABiShyandaH,1A00,Cholera
HF-2,adhimanthaH,adhimanthaH,1A00,Cholera
HF-2.1,vAtaja-adhimanthaH,vAtaja-adhimanthaH,1A00,Cholera
HF-2.2,pittaja-adhimanthaH,pittaja-adhimanthaH,1A00,Cholera
HF-2.3,kaPaja-adhimanthaH,kaPaja-adhimanthaH,1A00,Cholera
HF-2.4,raktaja-adhimanthaH,raktaja-adhimanthaH,1A00,Cholera
SK6W (HF-3),saSoPapAkaH,"It is characterised by redness, pain, swelling in conjunctiva involving entire eye. This may be explained by: (a) Vitiation of all the three dosha affecting the eye saSoPapAkaH",9A00,Conjunctivitis
SK6R (HF-4),aSoPapAkaH,It is characterised by abrupt mild eye swelling. This may be explained by: (a) Vitiation of all three dosha affecting the whole eye. aSoPapAkaH,9A00,Conjunctivitis
SK6X (HF-5),hatAdhimanthaH,"It is characterised by shrinkage of eyeball, may be associated with pain, ulceration, adhesion of eyelids, loss of vision. This may be explained by: (a) Aggravation of vatadosha affecting the eyeball. hatAdhimanthaH",9B10,Cataract
HF-6 (SK7Y),vAtaparyAyaH,vAtaparyAyaH,1A00,Cholera
SK6A (HF-7),SuShkAkShipAkaH,"It is characterised by dryness of eyes, decreased lacrimation, reduced stickness of eyes. This may be explained by: (a) All the three dosha mainly, vata affecting the eye. SuShkAkShipAkaH",9A00,Conjunctivitis
HF-8 (SK7Y),anyatovAtaH,anyatovAtaH,1A00,Cholera
HF-9 (SK7Y),amlAdhyuShitaH/amloShita,amlAdhyuShitaH/amloShita,1A00,Cholera
